"no";"title";"imgLink";"type"
41;"친구와 토론하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";0
42;"가족들과 시간 보내기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";0
43;"캠핑가기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/749e2ef5-d39d-4ad7-bafc-e25d287142b8.png";0
44;"노래 부르기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
45;"꽃꽂이 하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
46;"종교활동 하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
47;"바다에 가기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/39eb4072-e6ea-432c-94e3-04b6c6ca1f26.png";0
48;"나는 충분히 좋은 사람이야' 생각하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
49;"아무것도 하지 않는 하루 보내기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
50;"학창시절 친구들과 다시 만나기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";0
51;"스케치하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
52;"무언가 즉흥적으로 해보기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
53;"드라이브하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/39eb4072-e6ea-432c-94e3-04b6c6ca1f26.png";0
54;"악기 연주하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
55;"누군가를 위한 선물 사기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";1
56;"누군가를 위해 편지 쓰기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";1
57;"오래 전에 듣던 음악 들어보기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
58;"베이킹하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
